name,ttm,09/30/2023,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
		NetIncomeIncludingNoncontrollingInterests,"29,734,000,000","11,583,000,000","7,788,000,000","5,709,000,000","4,652,000,000","4,395,000,000","6,687,000,000","7,465,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,268,000,000","4,707,000,000","3,894,000,000","3,064,000,000","3,568,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,562,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-59,000,000","-157,000,000","205,000,000","302,000,000","227,000,000","240,000,000","233,000,000"
			NetIncomeContinuousOperations,"29,734,000,000","11,583,000,000","7,788,000,000","5,709,000,000","4,652,000,000","4,395,000,000","6,687,000,000","7,465,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,268,000,000","4,707,000,000","3,894,000,000","3,064,000,000","3,568,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,562,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-59,000,000","-157,000,000","205,000,000","302,000,000","227,000,000","240,000,000","233,000,000"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,"0","0","0","0","0","0",,"1,000,000","2,000,000","3,000,000","4,000,000","5,000,000","7,000,000","6,000,000","7,000,000","5,000,000","7,000,000","5,000,000","4,000,000","3,000,000","5,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000","0",,,"68,000,000","97,000,000","77,000,000","81,000,000","80,000,000"
AverageDilutionEarnings,,,,"801,000,000",,"665,000,000","1,010,000,000",,,,"-24,000,000","-18,000,000",,,,,,,,"0","0","0","0","1,000,000","1,000,000","3,000,000","4,000,000","5,000,000","11,000,000","6,000,000","7,000,000","5,000,000","7,000,000","5,000,000","4,000,000","3,000,000","5,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","2,000,000",,,,,,,,
DilutedNIAvailtoComStockholders,"29,734,000,000","11,583,000,000","7,788,000,000","5,709,000,000","4,652,000,000","4,395,000,000","6,687,000,000","7,465,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,987,000,000","4,266,000,000","4,704,000,000","3,890,000,000","3,059,000,000","3,561,000,000","2,373,000,000","2,048,000,000","1,505,000,000","1,555,000,000","891,000,000","715,000,000","509,000,000","696,000,000","802,000,000","788,000,000","642,000,000","520,000,000","422,000,000","331,000,000","217,000,000","64,000,000","-59,000,000","-157,000,000","137,000,000","205,000,000","150,000,000","159,000,000","153,000,000"
BasicEPS,"11.5","4.5","3.03","2.21","1.76","1.64","2.47","2.74","3.72","3.27","3.67","3.34","3.94","2.75","1.82","1.72","2.58","2.13","0.92","0.85","2.4","1.78","1.76","1.72","1.47","1.62","1.34","1.06","1.24","0.83","0.72","0.53","0.55","0.32","0.26","0.18","0.25","0.31","0.31","0.25","0.21","0.17","0.14","0.09","0.03","-0.02","-0.08","0.064","0.083","0.061","0.065","0.062"
DilutedEPS,"11.33","4.39","2.98","2.2","1.76","1.64","2.46","2.72","3.67","3.22","3.61","3.3","3.88","2.71","1.8","1.71","2.56","2.12","0.91","0.85","2.38","1.76","1.74","1.69","1.44","1.59","1.32","1.04","1.21","0.82","0.71","0.52","0.54","0.31","0.25","0.18","0.25","0.3","0.3","0.25","0.2","0.17","0.13","0.09","0.03","-0.02","-0.08","0.064","0.083","0.059","0.062","0.06"
BasicAverageShares,"2,592,500,000","2,576,000,000","2,568,000,000","2,587,000,000","2,638,000,000","2,682,000,000","2,704,000,000","2,725,000,000","2,765,000,000","2,814,000,000","2,834,000,000","2,847,000,000","2,850,000,000","2,850,000,022","2,850,000,022","2,851,000,022","2,853,000,022","2,854,000,022","2,855,000,022","2,856,000,022","2,872,000,022","2,885,000,023","2,895,000,023","2,906,000,023","2,907,000,023","2,904,000,023","2,900,000,023","2,891,000,023","2,882,000,023","2,871,000,022","2,856,000,022","2,843,000,022","2,825,000,022","2,808,000,022","2,796,000,022","2,784,000,022","2,761,000,022","2,587,000,020","2,560,000,020","2,545,000,020","2,458,000,019","2,430,000,019","2,407,000,019","2,386,000,019","2,368,000,018","2,420,000,019","1,879,000,015","2,138,085,037","2,456,000,019","2,456,000,019","2,456,000,019","2,456,000,019"
DilutedAverageShares,"2,630,750,000","2,641,000,000","2,612,000,000","2,596,000,000","2,640,000,000","2,687,000,000","2,713,000,000","2,742,000,000","2,799,000,000","2,859,000,000","2,877,000,000","2,882,000,000","2,890,000,000","2,891,000,023","2,879,000,023","2,868,000,022","2,871,000,022","2,874,000,022","2,875,000,023","2,869,000,022","2,886,000,023","2,913,000,023","2,930,000,023","2,945,000,023","2,954,000,023","2,956,000,023","2,951,000,023","2,944,000,023","2,938,000,023","2,915,000,023","2,904,000,023","2,888,000,023","2,878,000,023","2,863,000,022","2,850,000,022","2,836,000,022","2,816,000,022","2,644,000,021","2,615,000,020","2,609,000,020","2,558,000,020","2,528,000,020","2,502,000,020","2,499,000,019","2,506,000,020","2,420,000,019","1,879,000,015","2,138,085,037","2,556,000,020","2,556,000,020","2,556,000,020","2,556,000,020"
TotalOperatingIncomeAsReported,"36,766,000,000","13,748,000,000","9,392,000,000","7,227,000,000","6,399,000,000","5,664,000,000","8,358,000,000","8,524,000,000","12,585,000,000","10,423,000,000","12,367,000,000","11,378,000,000","12,775,000,000","8,040,000,000","5,963,000,000","5,893,000,000","8,858,000,000","7,185,000,000","4,626,000,000","3,317,000,000","7,820,000,000","5,781,000,000","5,863,000,000","5,449,000,000","7,352,000,000","5,122,000,000","4,401,000,000","3,327,000,000","4,566,000,000","3,122,000,000","2,746,000,000","2,009,000,000","2,560,000,000","1,459,000,000","1,273,000,000","933,000,000","1,133,000,000","1,397,000,000","1,390,000,000","1,075,000,000","1,133,000,000","736,000,000","562,000,000","373,000,000","523,000,000","377,000,000","-743,000,000","381,000,000","547,000,000","414,000,000","407,000,000","388,000,000"
TotalExpenses,"90,190,000,000","20,398,000,000","22,607,000,000","21,418,000,000","25,766,000,000","22,050,000,000","20,464,000,000","19,384,000,000","21,086,000,000","18,587,000,000","16,710,000,000","14,793,000,000","15,297,000,000","13,430,000,000","12,724,000,000","11,844,000,000","12,224,000,000","10,467,000,000","12,260,000,000","11,760,000,000","9,094,000,000","7,946,000,000","7,368,000,000","6,517,000,000","5,620,000,000","5,206,000,000","4,920,000,000","4,705,000,000","4,243,000,000","3,889,000,000","3,690,000,000","3,373,000,000","3,281,000,000","3,042,000,000","2,769,000,000","2,610,000,000","2,718,000,000","1,806,000,000","1,520,000,000","1,427,000,000","1,452,000,000","1,280,000,000","1,251,000,000","1,085,000,000","1,062,000,000","885,000,000","1,927,000,000","677,000,000","584,000,000","540,000,000","488,000,000","343,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"29,734,000,000","11,583,000,000","7,788,000,000","5,709,000,000","4,652,000,000","4,395,000,000","6,687,000,000","7,465,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,268,000,000","4,707,000,000","3,894,000,000","3,064,000,000","3,568,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,562,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-59,000,000","-157,000,000","205,000,000","302,000,000","227,000,000","240,000,000","233,000,000"
NormalizedIncome,"29,934,544,791.95","11,664,340,000","7,788,000,000","5,709,000,000","4,652,000,000","4,395,000,000","6,687,000,000","7,465,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,268,000,000","4,707,000,000","3,894,000,000","3,064,000,000","3,568,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,562,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-62,900,000","-149,200,000","195,900,000","309,800,000","242,000,000","239,398,496.241","221,950,000"
InterestIncome,"1,008,000,000","534,000,000","323,000,000","193,000,000","32,000,000","77,000,000","91,000,000","384,000,000","117,000,000","120,000,000","121,000,000","118,000,000","280,000,000","93,000,000","162,000,000","228,000,000","249,000,000","258,000,000","219,000,000","198,000,000","196,000,000","176,000,000","143,000,000","145,000,000","132,000,000","108,000,000","91,000,000","67,000,000","66,000,000","50,000,000","32,000,000","27,000,000","37,000,000","7,000,000","5,000,000","2,000,000","23,000,000","4,000,000","0","0",,,,,,,,,,,,
InterestExpense,,"139,000,000","116,000,000","55,000,000",,,,,,,,,,,,,,,"219,000,000",,,,,,,,,,,,,,,,,,,,,"0","7,000,000","21,000,000","14,000,000","15,000,000","16,000,000","11,000,000","10,000,000","13,000,000","16,000,000","10,000,000","9,000,000","7,000,000"
NetInterestIncome,"252,000,000","370,000,000","-99,000,000","80,000,000","-250,000,000","-88,000,000","-172,000,000","384,000,000","117,000,000","142,000,000","146,000,000","125,000,000","280,000,000","93,000,000","168,000,000","-32,000,000","311,000,000","144,000,000","206,000,000","165,000,000","151,000,000","131,000,000","5,000,000","161,000,000","110,000,000","114,000,000","87,000,000","81,000,000","-33,000,000","47,000,000","20,000,000","56,000,000","-3,000,000","-27,000,000","0","-1,000,000","-19,000,000","-61,000,000","-4,000,000","0","-7,000,000","-21,000,000","-14,000,000","-15,000,000","-16,000,000","-11,000,000","-10,000,000","-13,000,000","-16,000,000","-10,000,000","-9,000,000","-7,000,000"
EBIT,"37,130,000,000","14,159,000,000","9,392,000,000","7,227,000,000","6,399,000,000","5,664,000,000","8,358,000,000","8,524,000,000","12,585,000,000","10,423,000,000","12,367,000,000","11,378,000,000","12,775,000,000","8,040,000,000","5,963,000,000","5,893,000,000","8,858,000,000","7,185,000,000","4,626,000,000","3,317,000,000","7,820,000,000","5,781,000,000","5,863,000,000","5,449,000,000","7,352,000,000","5,122,000,000","4,401,000,000","3,327,000,000","4,566,000,000","3,122,000,000","2,746,000,000","2,009,000,000","2,560,000,000","1,459,000,000","1,273,000,000","933,000,000","1,133,000,000","1,397,000,000","1,390,000,000","1,075,000,000","1,137,000,000","747,000,000","559,000,000","368,000,000","521,000,000","383,000,000","-755,000,000","395,000,000","535,000,000","389,000,000","408,000,000","405,000,000"
EBITDA,"47,512,000,000","17,018,000,000","12,015,000,000","9,751,000,000","8,775,000,000","7,839,000,000","10,337,000,000","10,680,000,000","14,599,000,000","12,418,000,000","14,352,000,000","13,350,000,000","14,638,000,000","9,738,000,000","7,667,000,000","7,490,000,000","10,326,000,000","8,601,000,000","6,128,000,000","4,672,000,000","9,045,000,000","6,888,000,000","6,897,000,000","6,398,000,000","8,205,000,000","5,895,000,000","5,129,000,000","3,998,000,000","5,180,000,000","3,713,000,000","3,331,000,000","2,561,000,000","3,103,000,000","1,945,000,000","1,732,000,000","1,390,000,000","1,566,000,000","1,686,000,000","1,647,000,000","1,339,000,000","1,411,000,000","1,021,000,000","789,000,000","609,000,000","745,000,000","559,000,000","-616,000,000","505,000,000","638,000,000","486,000,000","480,000,000","456,000,000"
ReconciledCostOfRevenue,"26,600,000,000","6,210,000,000","5,945,000,000","6,108,000,000","8,336,000,000","5,716,000,000","5,192,000,000","6,005,000,000","6,348,000,000","5,771,000,000","5,399,000,000","5,131,000,000","5,210,000,000","4,194,000,000","3,829,000,000","3,459,000,000","3,492,000,000","3,155,000,000","3,307,000,000","2,816,000,000","2,796,000,000","2,418,000,000","2,214,000,000","1,927,000,000","1,611,000,000","1,448,000,000","1,237,000,000","1,159,000,000","1,047,000,000","987,000,000","916,000,000","838,000,000","824,000,000","720,000,000","668,000,000","654,000,000","653,000,000","565,000,000","473,000,000","462,000,000","491,000,000","507,000,000","465,000,000","413,000,000","398,000,000","322,000,000","367,000,000","277,000,000","247,000,000","236,000,000","210,000,000","167,000,000"
ReconciledDepreciation,"10,382,000,000","2,859,000,000","2,623,000,000","2,524,000,000","2,376,000,000","2,175,000,000","1,979,000,000","2,156,000,000","2,014,000,000","1,995,000,000","1,985,000,000","1,972,000,000","1,863,000,000","1,698,000,000","1,704,000,000","1,597,000,000","1,468,000,000","1,416,000,000","1,502,000,000","1,355,000,000","1,225,000,000","1,107,000,000","1,034,000,000","949,000,000","853,000,000","773,000,000","728,000,000","671,000,000","614,000,000","591,000,000","585,000,000","552,000,000","543,000,000","486,000,000","459,000,000","457,000,000","433,000,000","289,000,000","257,000,000","264,000,000","274,000,000","274,000,000","230,000,000","241,000,000","224,000,000","176,000,000","139,000,000","110,000,000","103,000,000","97,000,000","72,000,000","51,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"29,734,000,000","11,583,000,000","7,788,000,000","5,709,000,000","4,652,000,000","4,395,000,000","6,687,000,000","7,465,000,000","10,285,000,000","9,194,000,000","10,394,000,000","9,497,000,000","11,219,000,000","7,846,000,000","5,178,000,000","4,902,000,000","7,349,000,000","6,091,000,000","2,616,000,000","2,429,000,000","6,882,000,000","5,137,000,000","5,106,000,000","4,988,000,000","4,268,000,000","4,707,000,000","3,894,000,000","3,064,000,000","3,568,000,000","2,379,000,000","2,055,000,000","1,510,000,000","1,562,000,000","896,000,000","719,000,000","512,000,000","701,000,000","806,000,000","791,000,000","642,000,000","523,000,000","425,000,000","333,000,000","219,000,000","64,000,000","-59,000,000","-157,000,000","205,000,000","302,000,000","227,000,000","240,000,000","233,000,000"
TotalUnusualItemsExcludingGoodwill,"-248,000,000","-98,000,000","-145,000,000","-63,000,000","57,000,000","-131,000,000","-60,000,000","54,000,000","1,000,000","-48,000,000",,"-93,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,000,000","6,000,000","-12,000,000","14,000,000","-12,000,000","-25,000,000","1,000,000","17,000,000"
TotalUnusualItems,"-248,000,000","-98,000,000","-145,000,000","-63,000,000","57,000,000","-131,000,000","-60,000,000","54,000,000","1,000,000","-48,000,000",,"-93,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-18,000,000","6,000,000","-12,000,000","14,000,000","-12,000,000","-25,000,000","1,000,000","17,000,000"
NormalizedEBITDA,"47,760,000,000","17,116,000,000","12,015,000,000","9,751,000,000","8,775,000,000","7,839,000,000","10,337,000,000","10,680,000,000","14,599,000,000","12,418,000,000","14,352,000,000","13,350,000,000","14,638,000,000","9,738,000,000","7,667,000,000","7,490,000,000","10,326,000,000","8,601,000,000","6,128,000,000","4,672,000,000","9,045,000,000","6,888,000,000","6,897,000,000","6,398,000,000","8,205,000,000","5,895,000,000","5,129,000,000","3,998,000,000","5,180,000,000","3,713,000,000","3,331,000,000","2,561,000,000","3,103,000,000","1,945,000,000","1,732,000,000","1,390,000,000","1,566,000,000","1,686,000,000","1,647,000,000","1,339,000,000","1,411,000,000","1,021,000,000","789,000,000","609,000,000","745,000,000","553,000,000","-604,000,000","491,000,000","650,000,000","511,000,000","479,000,000","439,000,000"
TaxRateForCalcs,"0.191","0.17","0.16","0.22","0.24","0.21","0.18","0.16","0.19","0.13","0.17","0.17","0.14","0.04","0.16","0.16","0.2","0.17","0.27","0.3","0.14","0.13","0.13","0.11","0.4","0.1","0.13","0.1","0.21","0.25","0.26","0.27","0.39","0.37","0.4","0.4","0.37","0.4","0.35","0.4","0.35","0.35","0.39","0.38","0.35","0.35","0.35","0.35","0.35","0.4","0.398","0.35"
TaxEffectOfUnusualItems,"-47,455,208.05","-16,660,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,100,000","-4,200,000","4,900,000","-4,200,000","-10,000,000","398,496.241","5,950,000"